	T0_1	T0_2	T0_3	C5_1	C5_2	C5_3	C20_1	C20_2	C20_3	C30_1	C30_2	C30_3	C45_1	C45_2	C45_3	C60_1	C60_2	C60_3	C90_1	C90_2	C90_3	C120_1	C120_2	C120_3	N5_1	N5_2	N5_3	N20_1	N20_2	N20_3	N30_1	N30_2	N30_3	N45_1	N45_2	N45_3	N60_1	N60_2	N60_3	N90_1	N90_2	N90_3	N120_1	N120_2	N120_3
AT1G30270	3.66827593303091	3.71616383956322	3.66569679895259	3.70188378854349	3.65182653839447	3.65391386590337	3.65832326333439	3.5740221303391	3.63522339442128	3.61004471172886	3.62521640717404	3.60417401190479	3.69501805410874	3.69168917743962	3.63512023253701	3.66592689335106	3.69211040701075	3.64805261332415	3.62738053192867	3.63771208410332	3.64265327989269	3.6070698275419	3.55246040319751	3.60105794651825	3.69834645435411	3.6983881224929	3.64936066818662	3.70057181508558	3.69642760497318	3.69033215249494	3.85017678619083	3.87467380694722	3.88781100233349	3.9597600868117	3.99624682748574	3.9675591547185	3.98321697081664	3.93840517974582	4.02693881243098	4.06492206446223	4.04091857621738	4.06707937143439	4.00184598033567	4.03144054737863	4.02463690547834
AT1G13300	2.61612301102651	2.58579959524756	2.68045556355289	2.6020821831876	2.62832802836314	2.58467297895987	2.96494209272384	2.72913214957987	2.78627108854873	2.9048071915149	2.8546849280925	2.68065603846869	2.95660654067627	2.86215039329229	2.99465198129999	2.75208409431687	2.99625228442918	2.87539787200796	2.88287890185136	2.73036588430394	2.94045004679754	2.79186851001534	2.84109868993044	2.8130640921188	2.58072000895486	2.84080980905291	2.92326822285698	3.63126647123513	3.67202589231546	3.73513132475093	3.96555162467081	4.01117273618007	3.97276992346904	3.89246989421209	3.90467366774347	3.83864953106509	3.78018119750076	3.7005769974459	3.66651745545342	3.37775593254444	3.52888530160468	3.44995707702857	3.44164615497459	3.46995100120071	3.49672648222739
AT3G25790	2.44965434146065	2.09511479292578	2.57816854035588	2.43000902822201	2.063760290251	2.36533884903935	2.89452664342529	2.67558487425195	2.7540705484243	2.62807322580288	2.46665873764123	2.36044345077738	2.82183231300975	2.79442428144319	2.88156570153317	2.42558376898376	2.63341292512982	2.63081245001675	2.31767789758857	2.41497811606728	2.60803411490535	2.38779559425411	2.43867546943447	2.52586837867102	2.52443458174589	2.83463231554385	2.96974087639376	3.73559654338417	3.71179400486468	3.75963956282005	3.90532818610366	3.88111045642473	3.86597444706986	3.62654634472312	3.745846410274	3.5896748243837	3.47228829918474	3.44093470113821	3.09029412428995	2.72742487097172	2.75372569224985	2.63815225621874	2.70442042566835	2.59919795558264	2.63620155962363
AT3G63110	1.52096925700311	1.61819246879274	1.67740820969641	1.61138426126775	1.86260563887977	1.3666278204046	1.87726449428481	1.75977860974666	1.65779036556945	1.88592797534211	1.91843152150867	1.3024573962617	1.76009071581067	1.72682228159383	1.96920791143921	1.90197789332484	1.97875960863795	1.80763895152779	1.52432535289183	1.65618528585712	2.03901415478508	1.97413336624951	1.83144658726096	1.92789421438808	1.52159091205051	1.80574300180618	1.67362316117271	2.29194342077037	2.53340822273937	2.48934781896243	2.8424579811973	2.88523875178528	2.75500251551373	2.88580452938988	2.83320472230969	2.91652968683023	3.01155355702674	2.90268254167328	2.98631927404516	3.04664287242413	3.02710658643173	3.04296742985738	3.12843393587278	3.04305751815641	3.0803390053796
AT5G45340	2.62176881844061	2.86833081221247	2.59974303619952	2.73120453375158	2.7726033104943	2.82832578602269	2.94517360039173	2.67682198772775	2.72867177153293	2.57497825950341	2.77807908945878	2.6864505945612	2.82951052890876	2.97133763689415	2.90303795767935	2.83620393536343	2.93132632403458	2.94383446863485	3.04353104316093	2.75347038265741	2.9003380780085	2.97949905893673	2.87103060415767	2.85530667323112	2.9353020734641	3.00734650419824	3.21792608799637	3.66106331756065	3.70269212268993	3.67195495094572	3.64865490620462	3.5997609935493	3.58947687818093	3.38849356676686	3.23261401661606	3.30671045290638	3.31856366255579	3.26738454137671	3.27248584972292	3.17626797934969	3.21547281337578	3.22873822028442	2.97194040886381	2.97776557017417	2.96848688284832
AT1G31770	3.59068005881209	3.58152088665483	3.59059177515479	3.63578481275713	3.52588550067299	3.61107442160569	3.77327562797587	3.71443049388719	3.74842433336093	3.78237773003734	3.81159819443702	3.68517373306943	3.85452307611901	3.85509992042115	3.80182223024735	3.70213755834647	3.77688175723039	3.84507132105418	3.8025318805977	3.75512256336033	3.76547662034562	3.855803680337	3.72502691978877	3.73487044630943	3.57265175687319	3.5418524201076	3.63959242045526	3.88963547082768	3.84887678603581	3.85543699701224	4.01251795353391	3.93773720435968	3.95275057357468	4.04527476203005	3.92714379676485	4.00250513987216	4.10382563496127	4.05983621369844	4.0832795231141	4.36682988360208	4.27531229784309	4.32131389884327	4.2646990104893	4.3110556108484	4.26711597293836
AT5G65690	1.55653052289999	1.85183665989494	1.68570970328546	1.78481067626873	1.80232214814417	1.6605993191889	1.97330945266952	1.97935612432756	1.68661238086221	1.87946127959253	2.15413445776959	1.89810220144336	1.95186863709364	1.93192691569304	1.9831827668918	1.85799812582277	2.21856104089665	1.86698189466691	2.21543331632422	1.96804510916288	2.14664614331218	2.55023426914263	2.23907033664227	1.82119305790829	1.7724855838332	1.70403514208545	1.8272896019754	1.7696421830706	1.95059294692201	1.81881586672697	2.07490600145506	1.78119488750297	2.04229509496565	2.10710956979398	2.12729899474017	2.18679632338358	2.1539900993318	2.2679779394941	2.55661509629994	3.24955223224009	3.34347795293903	3.04838123737681	3.38683851922422	3.41025829144008	3.41159744509052
AT3G60750	3.91312467621164	3.91864220009932	3.96453349156339	3.94292339489399	3.90043894314032	3.91850821612468	4.16809860467343	4.06404039067218	4.068743175177	4.17901257440994	4.20992066848646	4.03520750212034	4.28083143837104	4.27049033538565	4.21106720132108	4.21182241745263	4.31493476034519	4.27552707757785	4.21407022004365	4.11498587869485	4.23872168367772	4.25582090369182	4.2261125758276	4.16932221005991	3.94815564520532	4.00686800287148	4.03981989707969	4.49535966702756	4.5023661478447	4.56290691024024	4.83824103951224	4.74027164550288	4.74760743749724	4.96276324159297	4.83682711634355	4.89653268274927	4.99918095930128	4.90939157465295	4.90270570839966	5.14899716638011	5.09433222437348	5.13390737328725	4.87045505729928	4.93837844980809	4.82112427586794
AT1G49160	2.02862881534732	2.1636625335207	2.09268155704012	2.29770544981074	2.1456841311798	2.12456421378173	2.04830303920904	1.92709029567566	2.15924219436634	1.95683640066906	2.1708612109401	1.95851895949498	2.19906919466324	2.19690075209932	2.26610299689775	2.31396943030622	2.39635499914236	2.18621301782439	1.9633081466279	2.05369454070965	2.49050719044149	2.39390821552594	2.17059776539502	2.15198314852212	1.98488573029394	2.2345633516857	2.11084153173452	2.41231429714447	2.38167532711638	2.51211046307734	2.82221981931158	2.86139040640414	3.01052245901203	3.13782042896846	3.21289241257419	3.22034804665458	3.36111044478711	3.17323227079817	3.33831500492475	3.55275454659974	3.44689770231265	3.54972747850036	3.45318588249413	3.37397063289079	3.44562117204458
AT2G47160	2.85345107367645	2.81919117014208	2.80167127039248	2.86871128535233	2.79229494884737	2.82270643669604	2.96052761338617	2.92778795065016	2.93288000854334	2.92462881892092	3.01563805685749	2.89675054195067	2.9644863018395	3.00851618837012	3.01258181501004	3.02492883619656	3.14832681985938	3.0342319826956	2.97902677934357	3.00753752897431	3.03478724073585	3.08938425247269	3.02746948782244	3.03532845277245	2.87713017842346	2.65337555879307	2.88944146797031	3.0306420288063	2.96248865208769	3.07081033040219	3.12706838105215	3.21923002894738	3.19108364211328	3.31150837902156	3.21258660424388	3.32084079154218	3.44142649421362	3.40406119228487	3.36756360616779	3.69482834825059	3.61615270355336	3.57284651430178	3.58120810228184	3.61532440808359	3.5915837589849
