T0_1	T0_2	T0_3	C5_1	C5_2	C5_3	C20_1	C20_2	C20_3	C30_1	C30_2	C30_3	C45_1	C45_2	C45_3	C60_1	C60_2	C60_3	C90_1	C90_2	C90_3	C120_1	C120_2	C120_3	N5_1	N5_2	N5_3	N20_1	N20_2	N20_3	N30_1	N30_2	N30_3	N45_1	N45_2	N45_3	N60_1	N60_2	N60_3	N90_1	N90_2	N90_3	N120_1	N120_2	N120_3
AT1G30270	4658.07001963946	5201.17204389694	4630.48478942452	5032.90896712004	4484.91192277936	4506.52302440362	4552.51852643077	3749.17110227441	4316.66100721185	4073.47220805784	4218.31685443259	4018.7683152974	4953.95787653062	4916.12511238213	4315.63557544051	4632.93912298556	4920.89638629787	4446.10136323215	4239.39327715017	4341.47260711727	4391.15846305417	4045.65946199497	3567.54213894173	3990.0314652566	4992.07626670723	4992.5553235846	4459.51505903589	5017.72557861382	4970.06505464281	4900.78550085837	7081.59023172192	7492.56184811637	7722.69400634967	9114.32164976612	9913.20235653247	9279.4888651389	9620.17813911479	8676.96094666507	10639.1810211789	11611.6520686147	10987.2481143023	11669.4788206926	10041.8457310457	10750.0441762316	10582.9349981054
AT1G13300	412.41451152108	384.550520099468	478.382426192778	399.270439980295	424.19040586885	383.552295833007	921.698422974098	535.209717556116	610.573496682737	802.419469556037	714.87405099455	478.603649832481	904.162402692162	727.281873487909	987.011242194866	564.296376591132	990.6576926886	749.831527819749	762.872826222396	536.73442541921	871.116612114534	618.503557224559	692.833399362914	649.475641974716	380.070228211971	692.372199955226	837.296704961841	4277.50307562449	4698.47124179189	5433.39627851225	9236.68987523768	10259.8494993371	9391.50604450339	7805.99321029426	8028.47573182655	6896.08015676081	6027.36040042659	5017.785463565	4639.24438982209	2385.71974319755	3379.00564120026	2817.35439355066	2763.93817493513	2950.12627850008	3137.78143065528
AT3G25790	280.864064962233	123.734360594857	377.839478653221	268.409075680533	115.063794304506	231.170345344047	783.630238156116	473.038891779395	566.886806971195	423.941164510484	292.109109610044	228.570801377396	662.736839669648	622.158534842164	760.56730494234	265.680395204385	429.19502217299	426.628283069857	207.065481403222	259.252854542109	404.790390397592	243.478079429817	273.834153081533	334.885877893213	333.779623493846	682.582875791334	931.947636827093	5439.22048474256	5149.09318596028	5748.87556407702	8040.58557420399	7604.44679358352	7343.95652251337	4231.25668179733	5569.13733129566	3886.78958597043	2966.05019704901	2759.41281746606	1230.35224787193	533.106913154762	566.436247807896	433.912582731451	505.564570691652	396.622634447265	431.964610832165
AT3G63110	32.4370964117703	40.763798096848	46.8282221417114	40.1180824860584	72.129542698347	22.5109699585964	74.6314512529634	56.7646670135274	44.7268489903879	76.1502896037598	82.1265228296611	19.3158423699208	56.8060148288269	52.5616693228724	92.4053734976675	79.0454068376683	94.4768916732998	63.4653644236152	32.6945496952455	44.559084374425	108.649202173226	93.4678883119202	67.0838688272028	83.9521071302545	32.484634889912	63.185637785117	46.4153608185368	195.108949480086	340.76377267813	307.815821138094	695.007635592608	767.033459480306	568.106225754459	768.034342018892	680.34034257677	824.393887460222	1026.21006817608	798.499809947174	968.23995292366	1112.62860730558	1063.65421686126	1103.24582205124	1343.35728783782	1103.47485425427	1202.45327506626
AT5G45340	417.820694256375	737.716523080125	397.121687770396	537.773343801211	591.63398713287	672.731679147284	880.651124784968	474.390431470194	534.641869326962	375.068590585683	599.150314280027	485.042263955788	674.57142609232	935.383176521322	799.154164205102	685.060192593125	852.991364821792	877.937541193343	1104.67948212724	566.102912847809	794.196822965348	953.141675872174	742.321499317408	715.899287176676	860.842824582669	1016.30983592399	1650.93067695737	4581.33685954768	5042.28663034474	4697.70369355149	4452.27267110293	3978.13139438732	3885.01809591461	2445.45903992518	1707.74619775183	2025.58130017067	2081.64763829388	1850.15675911142	1872.02606282725	1499.86049447272	1641.62684446158	1692.56681207304	936.683369435303	949.341800768578	929.258424952421
AT1G31770	3895.79825396286	3814.48142545195	3895.00624166941	4322.24579165272	3355.74110553738	4083.14362787464	5932.26748146993	5180.45163482978	5602.29787586579	6057.92602370209	6479.59600007201	4842.91092308069	7152.82403386313	7162.33196058815	6335.35302474667	5035.85112728312	5981.73691280092	6998.81935449312	6345.71487266811	5689.38490944363	5826.67402805085	7173.94890907664	5308.42352178537	5430.1329952602	3737.35724408438	3481.43964810391	4360.3136016002	7755.20839651	7060.42192883253	7167.89372708292	10291.6807474977	8663.62427733914	8968.38526178002	11098.0177110542	8454.83766948868	10057.0996638936	12699.8908437149	11476.4569778405	12113.0255649044	23271.0450548253	18849.2909428375	20955.5158305661	18394.2168912417	20466.3169809954	18496.8750909682
AT5G65690	35.2689064159725	70.3446073352686	47.7464225758626	60.1771237290876	62.684007344992	45.0219399171928	93.2893140662043	94.6077783558791	47.8473268269266	75.0137181171366	141.854903069415	78.3364718335675	88.7593981700421	84.7422831940188	95.4517044920961	71.3604367284505	164.659725487751	72.8676406345211	163.472748476228	92.1562881380154	139.4171178329	354.254835947648	172.658482063456	65.5010945741546	58.4723428018417	49.8365593798106	66.4376733284939	58.0858704559036	88.4968603671561	65.1394476267336	118.074501626921	59.6719709158098	109.478803921432	127.220412481657	133.309931991394	152.993344145225	141.807509420956	184.59374734578	359.509213289702	1775.69690724932	2204.60217833175	1117.0940959682	2436.15455217901	2571.17494954799	2579.11775890076
AT3G60750	8186.24784760225	8290.92364300758	9215.05955714149	8767.71140808405	7950.56471242851	8288.36597744781	14725.7182253503	11588.1013089044	11714.2737983662	15100.4887712769	16214.3887232106	10843.6992860027	19090.3713584127	18641.1569284261	16257.2530736006	16285.5495143052	20649.9491800212	18858.6155100246	16370.0619580164	13030.4940601302	17326.1825058542	18021.9935759947	16830.3529267461	14767.2678992745	8873.99013605172	10158.6486664382	10959.4857838592	31285.9434563259	31794.7857988069	36550.8935830242	68902.711408744	54987.7211989188	55924.4360410008	91782.4598048221	68678.7486701526	78800.4230894109	99810.8366309148	81168.507761473	79928.4945753727	140927.210333441	124259.500382151	136114.684329812	74207.9899301378	86771.018677281	66239.8527884704
AT1G49160	106.064156521027	145.018113583477	123.038858176261	197.724835109859	139.106975203955	132.468400140971	111.014283738783	83.7954608294929	143.54198048078	89.7891474432392	147.454438716891	90.1405977262969	157.399999421541	156.612320839579	183.795303330525	205.298487203388	248.339258112674	152.786988427222	91.1484415746239	112.410417399118	308.64065396111	246.939853070999	147.364564308937	141.150246054164	95.8296729252405	170.868203587922	128.324821086543	257.662963817213	240.060448812056	324.419994062555	663.329110765874	726.008979475686	1023.77476099501	1372.72395690084	1631.89744334293	1660.16744514612	2295.98265253319	1489.40783572709	2178.53989407824	3569.95972689706	2797.57209966222	3545.15812274207	2838.38394688313	2365.00971877095	2789.35901311879
AT2G47160	712.843809239619	658.714117918977	632.64009913018	738.363756231503	619.111908160811	664.073613778593	912.369491567478	846.063846439719	856.051086490447	839.926328614605	1035.91409478322	787.657127751213	920.730823683903	1019.0527725863	1028.64443245206	1058.33016932656	1406.35601605112	1081.26176425418	952.104916882756	1016.75728890733	1082.6460322748	1227.77571807263	1064.54401679889	1083.99698767087	752.831413573712	449.418972978649	774.499452089703	1072.3545314936	916.501967710433	1176.34178949454	1339.13764040288	1655.89719291372	1551.93601775111	2048.09157871705	1630.74821979128	2092.59491372188	2762.54018352886	2534.73585641091	2330.36450208106	4951.7940639798	4131.17760366614	3739.03395757952	3811.73463683014	4123.30461554088	3903.91481467016
