Target	Log2FC	padj
AT1G72510	0.661962279762153	2.78E-11
AT4G02380	-0.841466744134186	2.82E-11
AT5G44010	-1.78919720613826	3.25E-11
AT5G44910	1.29630595406426	3.40E-11
AT1G04280	-0.545802725399722	3.50E-11
AT5G50400	0.833893256431311	4.07E-11
AT5G56380	6.3506057215785	4.26E-11
AT2G22330	-0.854577856129919	4.36E-11
AT3G51450	-1.04381567535747	5.09E-11
AT3G16150	0.766459968127077	5.67E-11
AT5G19120	-1.67346906984374	6.07E-11
AT1G25230	1.45852421236319	6.79E-11
AT1G33590	-0.836404732789462	7.62E-11
AT5G28510	-2.19548597937844	7.94E-11
AT5G48770	8.63577258976511	8.09E-11
AT3G27990	8.58761433771965	8.27E-11
AT2G41100	-0.902452616071858	8.33E-11
AT5G65080	2.87117379960007	8.63E-11
AT3G48850	-1.19521436097025	8.88E-11
AT1G27030	0.645719215682626	9.05E-11
AT1G09100	0.571118312067724	1.23E-10
AT3G45410	1.06282473485408	1.23E-10
AT1G26150	1.06827962911102	1.39E-10
AT3G53370	1.98761136066381	1.40E-10
AT1G20490	1.89391236551347	1.40E-10
AT3G29310	0.587871309224896	1.45E-10
AT3G53590	-2.06191241279995	1.49E-10
AT5G27930	0.811953648755332	1.56E-10
AT1G14260	-1.66360761894515	1.56E-10
AT4G37540	-1.5168714914846	1.92E-10
AT1G75000	-1.11493097426292	2.04E-10
AT1G21230	-1.32701160774992	2.11E-10
AT5G64910	-2.46553141471432	2.90E-10
AT3G46480	-2.62331184849909	3.35E-10
AT3G53650	7.32143343502924	3.36E-10
AT1G24240	1.52127911779935	3.58E-10
AT3G50500	0.481950426514821	3.66E-10
AT5G46150	0.681837947437309	3.66E-10
AT1G30110	0.788982900505593	3.75E-10
AT5G55780	-1.46865591482184	5.05E-10
AT3G47760	-1.92572432556665	6.04E-10
AT1G80555	-4.52537147549158	6.37E-10
AT1G61820	-0.952854606027957	6.39E-10
AT5G44578	2.40834866783808	7.14E-10
AT1G11860	0.49268302206129	7.64E-10
AT5G42590	2.6669448146562	7.64E-10
AT1G01190	-0.770844087751799	7.98E-10
AT3G27650	1.2486430824744	7.98E-10
AT2G32960	-1.21276483991964	8.44E-10
AT1G80980	8.26197227557895	8.98E-10
AT2G26400	-2.80436345019554	8.98E-10
AT5G60350	-2.21484324614985	8.98E-10
AT1G78380	-0.359711169581784	9.40E-10
AT1G19850	-0.65802721030395	9.59E-10
AT3G27350	0.795483215114964	1.11E-09
AT3G47480	-1.5009674177137	1.21E-09
AT4G24570	-1.21431383746157	1.26E-09
AT4G21120	1.57102903475021	1.44E-09
AT1G07780	-1.20452172041471	1.63E-09
AT1G21640	0.58059799100856	1.65E-09
AT4G26050	1.95327392965378	1.65E-09
AT5G45240	7.36336806946173	1.69E-09
AT1G19080	2.74488881648095	1.71E-09
AT3G44840	8.39825680663543	1.88E-09
AT5G54490	-1.59876507179456	1.88E-09
AT3G05950	-4.85906059036698	1.90E-09
AT3G32030	2.23176102185302	1.91E-09
AT5G44500	1.21661373882328	2.02E-09
AT1G16780	-1.12574090060291	2.14E-09
AT5G47940	0.841543343236183	2.18E-09
AT1G07550	1.91360630621905	2.22E-09
AT3G45443	1.91702317522613	2.25E-09
AT1G11185	-1.2206796455776	2.70E-09
AT1G26530	-2.31421001111008	2.98E-09
AT5G41700	0.626459688909313	3.10E-09
AT5G65020	0.55076312686432	3.45E-09
AT5G50140	8.01249896914634	3.91E-09
AT1G19485	0.741435587179099	4.23E-09
AT1G77580	0.952803970399997	4.23E-09
AT3G48340	0.752049322103705	4.68E-09
AT3G47040	-1.46631094338014	4.96E-09
AT1G23890	1.1279941596551	4.99E-09
AT5G43150	0.658220387889685	5.28E-09
AT1G55760	0.644470235328033	5.28E-09
AT5G59050	0.734363741220434	5.47E-09
AT4G07820	-1.39391147004975	5.49E-09
AT3G60980	-0.768908267720095	5.60E-09
AT3G47420	1.26011237596755	5.67E-09
AT4G39940	-0.539510558200194	6.14E-09
AT1G76350	0.72152479731427	6.42E-09
AT3G61030	-7.92753649859704	6.72E-09
AT5G09800	-0.876680679049407	6.81E-09
AT1G16390	2.25010239734043	7.11E-09
AT3G45000	-3.80641679248663	7.48E-09
AT1G20693	0.41499489739844	8.09E-09
AT5G52330	3.25933091161036	8.38E-09
AT5G17040	1.12657340095988	8.45E-09
AT3G59080	-0.854444913101774	9.30E-09
AT5G64510	-1.50966990471688	9.60E-09
AT1G27570	-7.86286399762354	9.88E-09
AT3G29250	0.998180299468287	1.09E-08
AT5G46650	3.43782080751843	1.19E-08
AT3G47500	0.8237743696428	1.22E-08
AT5G55790	1.65541653708986	1.35E-08
AT4G11280	-0.964726447087671	1.47E-08
AT5G45090	8.11560137547552	1.47E-08
AT3G14990	-0.424450028565624	1.51E-08
AT3G50010	0.869856291941009	1.78E-08
AT1G22980	-1.76209816083912	1.98E-08
AT1G29410	3.82830481784468	2.35E-08
AT2G02010	-1.45344718430499	2.35E-08
AT5G52830	0.697750272879193	2.40E-08
AT3G43220	0.50971845860829	2.45E-08
AT1G71110	-0.679454123727604	2.62E-08
AT3G44710	7.70462174461085	2.62E-08
AT5G45095	7.79258457777722	2.70E-08
AT4G02450	0.418163083702888	2.75E-08
AT1G18140	-2.07444024635983	2.91E-08
AT1G02330	0.593888544484757	2.92E-08
AT1G28130	0.597356022521229	3.19E-08
AT1G05000	-0.554473409102201	3.36E-08
AT1G13260	-0.92338373531443	3.41E-08
AT1G27000	0.434090888647611	3.46E-08
AT3G02840	-1.47401239938655	3.56E-08
AT2G18150	-0.516895172480451	3.81E-08
AT4G00040	0.677415084306918	3.97E-08
AT5G62900	0.900832565469014	3.97E-08
AT3G27510	1.57597739802829	4.18E-08
AT2G39800	-0.791464422760651	4.29E-08
AT1G49570	-1.01343762286817	4.30E-08
AT1G77920	0.666879605513037	4.32E-08
AT5G19240	-0.841361700442983	4.37E-08
AT3G15356	-2.93487238187504	4.76E-08
AT1G07660	-0.835848584146451	5.20E-08
AT3G47030	5.50548434603537	5.80E-08
AT3G47770	1.56820484417734	6.01E-08
AT3G51110	0.873451454546116	6.25E-08
AT1G12940	1.5843095079586	7.67E-08
AT1G61550	-0.884206245752395	7.87E-08
AT3G44700	7.55984947305685	7.87E-08
AT1G09415	-1.48976513183049	7.88E-08
AT1G16030	-1.1669094864409	1.03E-07
AT1G44030	2.5127088816169	1.05E-07
AT3G48115	1.2144264310341	1.05E-07
AT5G01500	-0.58011084941832	1.16E-07
AT4G34710	-0.657624822512406	1.17E-07
AT5G64440	0.610198841328	1.19E-07
AT1G14040	-0.846145829597791	1.24E-07
AT5G16570	0.829205215260068	1.25E-07
AT1G15550	0.911769900486229	1.41E-07
